"ch_1","ch_2","ch_3","ch_4","ch_5","ch_6","ch_7","ch_8","finger"
"0.017818","0.037454","0.058484","0.02825","0.013251","0.0087169","0.0093224","0.010399","0"
"0.012247","0.038097","0.030851","0.015786","0.019717","0.0098189","0.0086999","0.0091874","0"
"0.011391","0.033087","0.012004","0.010517","0.01309","0.010052","0.008401","0.0091264","0"
"0.016683","0.084688","0.035952","0.018224","0.0146","0.011037","0.0086817","0.0099593","0"
"0.012158","0.020187","0.029483","0.014682","0.016539","0.010736","0.0081611","0.010035","0"
"0.013637","0.029321","0.063267","0.023516","0.014265","0.010494","0.0082331","0.0089108","0"
"0.01367","0.019777","0.055116","0.026895","0.02048","0.011356","0.0090598","0.010411","0"
"0.011755","0.023585","0.037065","0.017287","0.018881","0.010743","0.0083521","0.0092919","0"
"0.012886","0.020841","0.030014","0.021734","0.01657","0.009724","0.0085095","0.0082792","0"
"0.011871","0.04049","0.019104","0.013709","0.013909","0.01032","0.0084362","0.0093954","0"
"0.011558","0.021017","0.033002","0.01558","0.014108","0.0094302","0.0083595","0.0092703","0"
"0.011951","0.026081","0.030886","0.01401","0.015392","0.0106","0.0085907","0.0084224","0"
"0.011007","0.043245","0.011368","0.012284","0.012941","0.011044","0.0088105","0.0093372","0"
"0.011612","0.030991","0.013236","0.012267","0.013399","0.010937","0.0081756","0.010198","0"
"0.010825","0.025381","0.014295","0.01164","0.016114","0.011332","0.0093341","0.009566","0"
"0.011582","0.033151","0.013756","0.014374","0.015643","0.0099871","0.0076126","0.0092371","0"
"0.01177","0.020595","0.027646","0.01875","0.014498","0.0096692","0.0080662","0.0092831","0"
"0.012191","0.06812","0.052576","0.020608","0.013984","0.011731","0.0094095","0.0093512","0"
"0.012548","0.032105","0.032549","0.016336","0.016426","0.0094897","0.0081301","0.0095392","0"
"0.0098213","0.017654","0.021832","0.016595","0.015115","0.0094735","0.0079872","0.0092779","0"
"0.010402","0.02076","0.016062","0.015354","0.017628","0.011119","0.0082111","0.0093797","0"
"0.012854","0.022422","0.028334","0.016353","0.015074","0.0098046","0.0077158","0.0090978","0"
"0.01301","0.030378","0.021085","0.015247","0.011017","0.010262","0.0077025","0.0093073","0"
"0.011998","0.015304","0.046481","0.016491","0.016959","0.010357","0.0078081","0.010066","0"
"0.011033","0.0099975","0.021828","0.025453","0.01601","0.0093919","0.0087302","0.0095392","0"
"0.012509","0.024465","0.025751","0.015556","0.015597","0.010097","0.0076427","0.0096784","0"
"0.013113","0.012917","0.015688","0.013098","0.018042","0.011337","0.008427","0.0098629","0"
"0.010467","0.0097358","0.042077","0.019273","0.015759","0.01062","0.0086358","0.0086067","0"
"0.031762","0.014216","0.01914","0.014273","0.015429","0.010962","0.0090303","0.0090126","0"
"0.011039","0.010594","0.034423","0.01693","0.015117","0.0094931","0.010176","0.0099152","0"
"0.013816","0.038377","0.011867","0.0095413","0.014401","0.0096642","0.0089336","0.0084754","0"
"0.011767","0.021889","0.01971","0.014663","0.017379","0.010887","0.009227","0.0089671","0"
"0.01309","0.019009","0.030762","0.013769","0.019106","0.011668","0.0093495","0.0084569","0"
"0.014828","0.017244","0.013986","0.013935","0.025111","0.018353","0.0092703","0.010355","0"
"0.011847","0.025415","0.012934","0.013267","0.022814","0.012091","0.0094384","0.0090096","0"
"0.013161","0.012387","0.013012","0.014861","0.019446","0.010915","0.0091861","0.010337","0"
"0.010783","0.03887","0.012458","0.013339","0.017046","0.011891","0.0097065","0.0099871","0"
"0.013954","0.027032","0.014557","0.017944","0.018375","0.01144","0.0080789","0.010522","0"
"0.016633","0.01046","0.012457","0.013059","0.017208","0.011428","0.0081932","0.0091356","0"
"0.012649","0.010377","0.012109","0.014394","0.024683","0.01185","0.0086358","0.0093512","0"
"0.013817","0.015815","0.013657","0.016116","0.022303","0.01196","0.0099099","0.0113","0"
"0.011294","0.01274","0.011461","0.014979","0.024259","0.012045","0.0095917","0.010351","0"
"0.014112","0.021763","0.015218","0.016809","0.023588","0.012542","0.0079461","0.010394","0"
"0.014003","0.014503","0.018279","0.016776","0.026656","0.013753","0.0088863","0.01084","0"
"0.013509","0.01292","0.012099","0.016095","0.021908","0.012538","0.0083398","0.010195","0"
"0.01314","0.014816","0.015537","0.016659","0.020857","0.010914","0.0090557","0.0098861","0"
"0.013144","0.014799","0.013315","0.013673","0.01651","0.010028","0.0092566","0.0098961","0"
"0.016403","0.019098","0.013057","0.012983","0.020036","0.010389","0.0085424","0.01016","0"
"0.015251","0.020329","0.014498","0.01708","0.023558","0.01157","0.009566","0.0092195","0"
"0.016885","0.016291","0.019569","0.020039","0.02702","0.013152","0.0096587","0.011428","0"
"0.019002","0.013997","0.035376","0.018871","0.022202","0.011664","0.010636","0.010361","0"
"0.015467","0.01415","0.01451","0.017184","0.021368","0.012033","0.0080295","0.0096936","0"
"0.017652","0.014108","0.014482","0.015723","0.027128","0.010736","0.00913","0.010644","0"
"0.015714","0.015843","0.013338","0.012684","0.025442","0.012514","0.0079061","0.01157","0"
"0.013717","0.015471","0.016758","0.017008","0.030284","0.01292","0.010501","0.011342","0"
"0.015012","0.013081","0.012546","0.016634","0.019007","0.012154","0.0078228","0.0089671","0"
"0.014704","0.012702","0.012308","0.013438","0.017497","0.0096449","0.0080137","0.0094007","0"
"0.01132","0.011392","0.021654","0.015616","0.022328","0.011612","0.009381","0.0094875","0"
"0.020335","0.014578","0.020811","0.013787","0.024662","0.011582","0.0091587","0.0098029","0"
"0.016302","0.018822","0.014864","0.014521","0.026527","0.013231","0.0093319","0.01144","0"
"0.025295","0.032415","0.01485","0.014367","0.017497","0.0107","0.0080824","0.0095111","0"
"0.015344","0.013385","0.012025","0.014189","0.022269","0.012413","0.0091098","0.010327","0"
"0.018253","0.017491","0.014599","0.015241","0.021994","0.011658","0.0098771","0.010376","0"
"0.017283","0.042332","0.014955","0.015407","0.019678","0.01045","0.0083978","0.0097765","0"
"0.012182","0.017796","0.013308","0.013812","0.029044","0.01352","0.009719","0.011101","0"
"0.01036","0.022477","0.0123","0.012362","0.021287","0.012076","0.0086527","0.009272","0"
"0.018437","0.035723","0.016425","0.017511","0.027546","0.013478","0.0090091","0.01559","0"
"0.016633","0.01939","0.014074","0.013946","0.028705","0.013474","0.0096953","0.012031","0"
"0.014614","0.021402","0.015028","0.014647","0.028301","0.013044","0.0095955","0.011258","0"
"0.012342","0.054582","0.015487","0.015525","0.019849","0.012082","0.0085902","0.010654","0"
"0.011596","0.024984","0.013755","0.012833","0.019886","0.011198","0.0099324","0.0095489","0"
"0.01843","0.019678","0.013282","0.016657","0.023102","0.010831","0.0083483","0.01131","0"
"0.017134","0.015673","0.014298","0.015318","0.02543","0.012584","0.0093728","0.010966","0"
"0.014434","0.013665","0.013327","0.014458","0.019408","0.01131","0.0099427","0.010416","0"
"0.023265","0.033647","0.012913","0.013346","0.019443","0.011615","0.0093372","0.0094064","0"
"0.011271","0.032869","0.012362","0.011362","0.017154","0.0106","0.0080789","0.0084263","0"
"0.016074","0.033942","0.012182","0.013117","0.016599","0.010763","0.0078387","0.0096824","0"
"0.011243","0.013872","0.059182","0.02622","0.010951","0.0094512","0.0090326","0.0085532","0"
"0.12669","0.18877","0.15862","0.036674","0.025535","0.043121","0.060183","0.04972","0"
"0.068575","0.065793","0.12263","0.036284","0.025467","0.024657","0.013612","0.016014","0"
